,SMILES,pChEMBL Value
168,Cc1cccc([C@@H](C)Nc2nc(C)nc3cc(C)c(C4CCN(C(C)C)CC4)cc23)c1,7.66
171,CC(=O)N1CCC2(CC1)CC(O)(c1ccc3nc(C)nc(N[C@H](C)c4cccc(C(F)(F)F)c4)c3c1)C2,7.64
31,COc1cc2nc(C)nc(N[C@H](C)c3cccc(C(F)(F)F)c3)c2cc1-c1ccc(C(=O)N(C)C)nc1,7.64
126,Cc1nc(N[C@H](C)c2cccc(C(F)(F)F)c2)c2cc(C3(O)CCN(C(=O)N(C)C)CC3)ccc2n1,7.64
132,CC(=O)N1CCC(c2cc3c(N[C@H](C)c4cccc(C)c4)nc(C)nc3cc2C)CC1,7.62
60,CC(=O)N1CCC(c2cc(C)c3nc(C)nc(N[C@H](C)c4cccc(C)c4)c3c2)CC1,7.62
81,Cc1nc(N[C@H](C)c2cccc(Cl)c2F)c2cc(C3=CCNCC3)ccc2n1,7.62
183,Cc1nc(N[C@H](C)c2cccc(C(F)(F)F)c2)c2cc(-c3ccc(=O)n(C)c3)c(C)cc2n1,7.6
14,Cc1cccc([C@@H](C)Nc2nc(C)nc3ccc([C@H]4CC[S@@](=N)(=O)CC4)cc23)c1,7.6
43,COc1cc2nc(C)nc(N[C@H](C)c3cc(N)cc(C(F)(F)F)c3)c2cc1[C@H]1CC[C@@H](C(=O)N2CCOCC2)CC1,7.6
113,Cc1cccc([C@@H](C)Nc2nc(C)nc3ccc([C@H]4CC[C@H](C(=O)N5CCC(O)C5)CC4)cc23)c1,7.6
105,Cc1cccc([C@@H](C)Nc2nc(C)nc3ccc(-c4ccc(=O)n(CC(=O)N(C)C)c4)cc23)c1,7.59
138,CC(=O)O[C@H]1CC[C@](O)(c2ccc3nc(C)nc(N[C@H](C)c4cccc(C(F)(F)F)c4)c3c2)CC1,7.59
203,Cc1nc(N[C@H](C)c2cccc(C(F)(F)F)c2)c2cc(-c3ccc(=O)n(CC(=O)N(C)C)c3)ccc2n1,7.59
29,CC(=O)N1CC2(C1)CC(O)(c1cc(C)c3nc(C)nc(N[C@H](C)c4cccc(C(F)(F)F)c4)c3c1)C2,7.59
108,Cc1nc(N[C@H](C)c2cccc(C(F)(F)F)c2F)c2cc([C@]3(O)CC[C@H](O)CC3)ccc2n1,7.57
37,Cc1nc(N[C@H](C)c2cccc(C(F)(F)F)c2)c2cc(C3=CCC(C(=O)N4CCN(C)CC4)CC3)ccc2n1,7.57
131,Cc1nc(N[C@H](C)c2cccc(C(F)(F)F)c2)c2cc([C@]3(O)CC[C@H](C(=O)N(C)C)CC3)ccc2n1,7.57
55,COc1cc2nc(C)nc(N[C@H](C)c3cccc(C(F)(F)F)c3)c2cc1C1CCC(C(=O)N(C)CC(O)CO)CC1,7.57
54,COc1cc2nc(C)nc(N[C@H](C)c3cccc(C)c3)c2cc1-c1ccc(=O)n(CC(=O)N(C)C)c1,7.57
44,Cc1cccc([C@@H](C)Nc2nc(C)nc3c(C)cc(C4CCN(C5CCOC5)CC4)cc23)c1,7.55
12,Cc1cccc([C@@H](C)Nc2nc(C)nc3c(C)cc(C4CCN(CC(=O)O)CC4)cc23)c1,7.55
49,COc1cc2nc(C)nc(N[C@H](C)c3cccc(C)c3)c2cc1-c1ccc(=O)[nH]c1,7.55
98,Cc1cccc([C@@H](C)Nc2nc(C)nc3ccc(-c4ccc(=O)[nH]c4)cc23)c1,7.54
22,Cc1cccc([C@@H](C)Nc2nc(C)nc3ccc(C4CCS(=O)(=O)CC4)cc23)c1,7.54
100,COc1cc2nc(C)nc(N[C@H](C)c3cccc(C)c3)c2cc1O[C@H]1CCN(C(C)=O)C1,7.52
180,Cc1nc(N[C@H](C)c2cccc(C(F)(F)F)c2)c2cc(-c3cc4n(n3)CCC(=O)N4)ccc2n1,7.52
115,COC1CN(C(=O)[C@H]2CC[C@H](c3ccc4nc(C)nc(N[C@H](C)c5cccc(C(F)(F)F)c5)c4c3)CC2)C1,7.49
45,Cc1nc(N[C@H](C)c2cccc(C(F)(F)F)c2)c2cc(C3CCOCC3)ccc2n1,7.48
15,CONC(=O)CC(C)c1ccc2nc(C)nc(N[C@H](C)c3cccc(C(F)(F)F)c3)c2c1,7.47
28,Cc1nc(N[C@H](C)c2cccc(C(F)(F)F)c2)c2cc(-c3cc4n(n3)CCC(=O)N4)c(C)cc2n1,7.47
30,Cc1cccc([C@@H](C)Nc2nc(C)nc3ccc([C@H]4CC[C@H](O)CC4)cc23)c1,7.47
82,COc1cc2nc(C)nc(N[C@H](C)c3cccc(C4(O)COC4)c3)c2cc1C1=CCN(C(C)=O)CC1,7.47
90,COCC(=O)N1CCC(n2cc(-c3ccc4nc(C)nc(N[C@H](C)c5cccc(C)c5)c4c3)cn2)CC1,7.47
79,COc1cc2nc(C)nc(N[C@H](C)c3cc(N)cc(C(F)(F)F)c3)c2cc1[C@H]1CC[C@@H](C(=O)N(C)C)CC1,7.47
10,COc1cc2nc(C)nc(N[C@H](C)c3cccc(C)c3)c2cc1-c1ccc(C(=O)N(C)C)nc1,7.47
33,COCC(=O)N1CCC(c2cc3c(N[C@H](C)c4cccc(C)c4)nc(C)nc3cc2C)CC1,7.47
196,Cc1nc(N[C@H](C)c2cccc(C(F)(F)F)c2)c2cc(-c3ccc(=O)n(CC(=O)O)c3)ccc2n1,7.46
111,COc1cc2nc(C)nc(N[C@H](C)c3cccc(C(F)(F)F)c3)c2cc1-c1ccc(C(=O)N(C)C)cn1,7.46
188,COc1cc2nc(C)nc(N[C@H](C)c3cc(N)cc(C(F)(F)F)c3F)c2cc1[C@H]1CC[C@@H](C(=O)N(C)C)CC1,7.46
