Molecule ChEMBL ID,Standard Value,Calculated pChEMBL,index,Smiles
CHEMBL4435342,8.0,8.1,741,COc1cc2nc(C)nc(N[C@H](C)c3cccc(C(C)(C)O)c3)c2cc1[C@H]1CC[C@H](C(=O)N(C)C)CC1
CHEMBL4435672,3.0,8.52,402,COc1cc2nc(C)nc(N[C@H](C)c3cc(N)cc(C(F)(F)F)c3)c2cc1O[C@H]1CCN(C(C)=O)C1
CHEMBL4435778,46.0,7.34,5,Cc1cccc([C@@H](C)Nc2nc(C)nc3ccc(-c4ccc(=O)n(C)c4)cc23)c1
CHEMBL4436096,44.0,7.36,729,Cc1cccc([C@@H](C)Nc2nc(C)nc3cc(C)c(-c4ccc(C(=O)N5CCOCC5)cc4)cc23)c1
CHEMBL4436318,6.0,8.22,156,COc1cc2nc(C)nc(N[C@H](C)c3cc(N)cc(C(F)(F)F)c3F)c2cc1C1CCS(=O)(=O)CC1
CHEMBL4436392,10.0,8.0,128,Cc1nc(N[C@H](C)c2cccc(C(F)(F)F)c2)c2cc([C@]3(O)CC[C@@H](O)CC3)ccc2n1
CHEMBL4436461,13.0,7.89,345,Cc1cccc([C@@H](C)Nc2nc(C)nc3ccc([C@H]4CC[C@H](C(=O)N(C)C)CC4)cc23)c1
CHEMBL4436478,17.0,7.77,618,CNC(=O)CC(C)c1cc2c(N[C@H](C)c3cccc(C(F)(F)F)c3)nc(C)nc2cc1OC
CHEMBL4436505,2.0,8.7,122,COc1cc2nc(C)nc(N[C@H](C)c3cc(N)cc(C(F)(F)F)c3C)c2cc1[C@H]1CC[C@H](C(=O)N(C)C)CC1
CHEMBL4438031,15.0,7.82,490,CC(=O)N1CCC(O)(c2ccc3nc(C)nc(N[C@H](C)c4cccc(C(F)(F)F)c4)c3c2)CC1
CHEMBL4438125,34.0,7.47,198,COc1cc2nc(C)nc(N[C@H](C)c3cccc(C)c3)c2cc1-c1ccc(C(=O)N(C)C)nc1
CHEMBL4439042,20.0,7.7,270,Cc1nc(N[C@H](C)c2cccc(C(F)(F)F)c2)c2cc([C@]3(O)CC[C@H](O)CC3)ccc2n1
CHEMBL4439239,28.0,7.55,753,Cc1cccc([C@@H](C)Nc2nc(C)nc3c(C)cc(C4CCN(CC(=O)O)CC4)cc23)c1
CHEMBL4439562,18.0,7.74,389,Cc1nc(N[C@H](C)c2cccc(C(F)(F)F)c2)c2cc(C3=CCNCC3)ccc2n1
CHEMBL4440619,25.0,7.6,152,Cc1cccc([C@@H](C)Nc2nc(C)nc3ccc([C@H]4CC[S@@](=N)(=O)CC4)cc23)c1
CHEMBL4441162,34.0,7.47,477,CONC(=O)CC(C)c1ccc2nc(C)nc(N[C@H](C)c3cccc(C(F)(F)F)c3)c2c1
CHEMBL4441565,3.0,8.52,282,Cc1nc(N[C@H](C)c2cc(N)cc(C(F)(F)F)c2)c2cc([C@H]3CC[C@H](C(=O)N(C)C)CC3)ccc2n1
CHEMBL4441648,3.0,8.52,110,CC(=O)N1CC[C@H](Oc2cc3c(N[C@H](C)c4cc(N)cc(C(F)(F)F)c4)nc(C)nc3cc2C)C1
CHEMBL4441820,4.0,8.4,619,Cc1nc(N[C@H](C)c2cc(N)cc(C(F)(F)F)c2C)c2cc(C3CCS(=O)(=O)CC3)ccc2n1
CHEMBL4442809,1.0,9.0,259,Cc1cccc([C@@H](C)Nc2nc(C)nc3ccc(-c4ccn(CC(=O)N(C)C)c(=O)c4)cc23)c1
CHEMBL4442848,3.0,8.52,467,CCC(=O)N1CC[C@H](Oc2cc3c(N[C@H](C)c4cc(N)cc(C(F)(F)F)c4)nc(C)nc3cc2C)C1
CHEMBL4443330,20.0,7.7,124,Cc1nc(N[C@H](C)c2cccc(C(F)(F)F)c2)c2cc([C@]3(O)CC[C@H](O)CC3)cc(C)c2n1
CHEMBL4443395,29.0,7.54,616,Cc1cccc([C@@H](C)Nc2nc(C)nc3ccc(C4CCS(=O)(=O)CC4)cc23)c1
CHEMBL4444096,49.0,7.31,41,Cc1cccc([C@@H](C)Nc2nc(C)nc3ccc(-c4cnn(CC(=O)N(C)C)c4)cc23)c1
CHEMBL4444961,19.0,7.72,3,Cc1nc(N[C@H](C)c2cccc(C(F)(F)F)c2)c2cc(C3=CCC(C(=O)N(C)C)CC3)ccc2n1
